1621558272.973936,s2-eth1,5970828.00,65670.00,6036498.00,65670,5970828,1086.00,995.00,2081.00,995,1086,0.00,0.00,0,0
1621558272.973970,s1-eth1,5970828.00,65736.00,6036564.00,65736,5970828,1086.00,996.00,2082.00,996,1086,0.00,0.00,0,0
1621558272.974043,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558272.974071,s2-eth2,65670.00,5970828.00,6036498.00,5970828,65670,995.00,1086.00,2081.00,1086,995,0.00,0.00,0,0
1621558272.974105,s1-eth2,65670.00,5970828.00,6036498.00,5970828,65670,995.00,1086.00,2081.00,1086,995,0.00,0.00,0,0
1621558272.974134,total,18109560.00,18116932.00,36226492.00,18116932,18109560,6244.00,6246.00,12490.00,6246,6244,0.00,0.00,0,0
1621558273.974451,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558273.974500,s3-eth1,5948910.00,65670.00,6014580.00,65670,5948910,1083.00,995.00,2078.00,995,1083,0.00,0.00,0,0
1621558273.974571,s3-eth2,65604.00,5959112.00,6024716.00,5959112,65604,994.00,1084.00,2078.00,1084,994,0.00,0.00,0,0
1621558273.974699,s2-eth1,5954768.00,65736.00,6020504.00,65736,5954768,1084.00,996.00,2080.00,996,1084,0.00,0.00,0,0
1621558273.974733,s1-eth1,5960626.00,65670.00,6026296.00,65670,5960626,1085.00,995.00,2080.00,995,1085,0.00,0.00,0,0
1621558273.974773,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558273.974802,s2-eth2,65670.00,5954768.00,6020438.00,5954768,65670,995.00,1084.00,2079.00,1084,995,0.00,0.00,0,0
1621558273.974836,s1-eth2,65736.00,5954768.00,6020504.00,5954768,65736,996.00,1084.00,2080.00,1084,996,0.00,0.00,0,0
1621558273.974864,total,18061314.00,18065724.00,36127040.00,18065724,18061314,6237.00,6238.00,12475.00,6238,6237,0.00,0.00,0,0
1621558274.975100,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558274.975143,s3-eth1,5953254.00,65670.00,6018924.00,65670,5953254,1083.00,995.00,2078.00,995,1083,0.00,0.00,0,0
1621558274.975187,s3-eth2,65670.00,5947396.00,6013066.00,5947396,65670,995.00,1082.00,2077.00,1082,995,0.00,0.00,0,0
